No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
41,AP041,Cake tape,"50,1","4,9","11,5","1,4",Olahan,Serealia,KZGMI-2001
42,AP042,Cangkuning,"31,4","2,8","7,5",-,Olahan,Serealia,KZGMI-2001
43,AP043,Dodol bali,"65,9","3,7","2,1","0,4",Olahan,Serealia,KZGPI-1990
44,AP044,Dodol galamai,"76,1","0,4","3,8","0,5",Olahan,Serealia,KZGMI-2001
45,AP045,Dodol kedondong,"63,8","1,9","7,6","1,0",Olahan,Serealia,KZGPI-1990
46,AP046,Dodol manado,"51,9","4,3","16,5","0,4",Olahan,Serealia,KZGMI-2001
47,AP047,Emping beras,"85,3","10,6","2,2","0,2",Olahan,Serealia,KZGMI-2001
48,AP048,Gemblong,"55,5","1,7","5,4","2,2",Olahan,Serealia,KZGPI-1990
49,AP049,Gendar goreng,"32,0","6,4","28,2","0,1",Olahan,Serealia,KZGPI-1990
50,AP050,Intip goreng,"62,3","7,6","21,6","1,2",Olahan,Serealia,KZGPI-1990
51,AP051,Jagung gerontol,"33,3","2,7","1,3","1,0",Olahan,Serealia,KZGPI-1990
52,AP052,Jagung titi,"79,1","9,4","2,2","0,8",Olahan,Serealia,KZGPI-1990
53,AP053,Japilus,"67,3","1,2","25,1","0,4",Olahan,Serealia,KZGPI-1990
54,AP054,Kakicak,"36,7","3,4","15,1",-,Olahan,Serealia,KZGMI-2001
55,AP055,Kambose,"32,6","3,0","2,4","4,3",Olahan,Serealia,KZGMI-2001
56,AP056,Kapusa,"27,8","4,4","3,2","5,3",Olahan,Serealia,KZGMI-2001
57,AP057,Keddo bodong,"55,2","4,6","5,7",-,Olahan,Serealia,KZGMI-2001
58,AP058,"Kelepon, kue","41,8","3,7","3,7","1,0",Olahan,Serealia,KZGMI-2001
59,AP059,Kereput,"51,1","4,8","39,6",-,Olahan,Serealia,KZGMI-2001
60,AP060,Ketoprak,"13,0","7,9","7,7","2,9",Olahan,Serealia,KZGPI-1990
61,AP061,Ketupat kandangan,"13,4","2,2","5,2",-,Olahan,Serealia,KZGMI-2001
62,AP062,Koya,"77,5","4,2","4,3","0,8",Olahan,Serealia,KZGMI-2001
63,AP063,Koya mirasa,"82,2","8,0","1,0","0,4",Olahan,Serealia,KZGMI-2001
64,AP064,Koyabu,"47,2","3,4","4,3",-,Olahan,Serealia,KZGMI-2001
65,AP065,Kue ali,"64,5","3,8","18,5","0,3",Olahan,Serealia,KZGMI-2001
66,AP066,Kue bangen,"74,2","3,3","14,7",-,Olahan,Serealia,KZGMI-2001
67,AP067,Kue gelang,"70,0","5,8","16,1",-,Olahan,Serealia,KZGMI-2001
68,AP068,Kue jahe,"84,6","1,6","8,8","1,2",Olahan,Serealia,KZGPI-1990
69,AP069,Kue kelapa,"47,5","5,6","42,1",-,Olahan,Serealia,KZGMI-2001
70,AP070,Kue koa,"79,3","4,8","0,4",-,Olahan,Serealia,KZGMI-2001
71,AP071,Kue ku temu,"49,6","3,5","0,2",-,Olahan,Serealia,KZGMI-2001
72,AP072,Kue lumpur,"44,1","3,6","11,1",-,Olahan,Serealia,KZGMS-1993
73,AP073,Kue pelita,"17,6","5,3","5,5",-,Olahan,Serealia,KZGMI-2001
74,AP074,Kue putu cangkir,"54,9","5,3","7,0","0,9",Olahan,Serealia,KZGPI-1990
75,AP075,Kue sus,"24,8","7,5","10,2",-,Olahan,Serealia,KZGMS-1993
76,AP076,Kue thipan,"49,5","2,9","4,2",-,Olahan,Serealia,KZGMI-2001
77,AP077,Laksa/Putu mayang,"21,1","1,7","3,4",-,Olahan,Serealia,KZGMI-2001
78,AP078,Lapis legit,"55,5","6,6","15,7","0,5",Olahan,Serealia,KZGPI-1990
79,AP079,Lupis ketan,"34,5","1,8","2,1","0,7",Olahan,Serealia,KZGPI-1990
80,AP080,Manan samin,"50,6","3,4","18,1",-,Olahan,Serealia,KZGMI-2001
81,AP081,Martabak india,"24,3","4,5","4,2",-,Olahan,Serealia,KZGMI-2001
82,AP082,Martabak mesir,"45,0","5,1","8,6",-,Olahan,Serealia,KZGMI-2001
83,AP083,Masekat,"74,1","2,1","7,0","4,0",Olahan,Serealia,KZGMI-2001
84,AP084,Mie aceh rebus,"18,1","3,0","3,2",-,Olahan,Serealia,KZGMI-2001
85,AP085,Mie ayam,"10,5","6,2","3,9",-,Olahan,Serealia,KZGMS-1993
86,AP086,Mie bakso,"16,4","5,3","3,0","0,1",Olahan,Serealia,KZGMS-1993
87,AP087,Mie celon,"17,8","3,0","2,1",-,Olahan,Serealia,KZGMI-2001
88,AP088,Mie pangsit basah,"9,4","5,9","4,9",-,Olahan,Serealia,KZGMS-1993
89,AP089,Nasi gemuk,"24,4","3,8","8,8","0,7",Olahan,Serealia,KZGMI-2001
90,AP090,Nasi gurih,"26,0","4,7","7,5","0,7",Olahan,Serealia,KZGMI-2001
91,AP091,Nasi minyak,"37,1","3,5","5,0","0,8",Olahan,Serealia,KZGMI-2001
92,AP092,Nasi rames,"19,1","10,3","4,2",-,Olahan,Serealia,KZGMS-1993
93,AP093,Nopia spesial,"74,3","5,3","7,6","0,3",Olahan,Serealia,KZGPI-1990
94,AP094,Onde-onde,"57,9","4,0","9,8",-,Olahan,Serealia,KZGMI-2001
95,AP095,Padamaran,"18,8","3,9","8,9",-,Olahan,Serealia,KZGMI-2001
96,AP096,Pastel,"42,4","4,5","13,3",-,Olahan,Serealia,KZGMS-1993
97,AP097,Pulut,"44,4","2,6","3,1",-,Olahan,Serealia,KZGMI-2001
98,AP098,Pundut nasi,"15,1","1,9","4,1","0,4",Olahan,Serealia,KZGMI-2001
99,AP100,Putri selat,"23,8","2,2","6,5",-,Olahan,Serealia,KZGMI-2001
100,AP101,Putu sopa,"41,1","3,3","4,1",-,Olahan,Serealia,KZGMI-2001
101,AP102,Renggi goreng,"64,1","4,7","21,8","6,4",Olahan,Serealia,KZGMI-2001
102,AP103,Roti boong,"43,3","5,5","16,2",-,Olahan,Serealia,KZGMI-2001
103,AP104,Roti warna sawo matang,"49,7","7,9","1,5",-,Olahan,Serealia,DABM-1964
104,AP105,Sarimuka,"32,9","2,3","2,8",-,Olahan,Serealia,KZGMI-2001
105,AP106,Spaghetti,"22,6","7,4","2,1",-,Olahan,Serealia,KZGMS-1993
106,AP107,Srikaya ketan,"49,1","2,7","6,4",-,Olahan,Serealia,KZGMI-2001
107,AP108,Sunduk lawang,"32,4","1,9","1,3",-,Olahan,Serealia,KZGMI-2001
108,AP109,Suwir-suwir,"84,2","0,5","0,9","0,8",Olahan,Serealia,KZGPI-1990
109,AP110,Tipa-tipa,"79,8","6,2","1,2","1,3",Olahan,Serealia,KZGPI-1990
110,AP111,Wajit camilan,"63,3","6,3","2,7","6,9",Olahan,Serealia,KZGPI-1990
111,AP112,Widaran,"80,7","1,3","10,7","0,2",Olahan,Serealia,KZGPI-1990
112,AP113,Wingko babat,"51,4","3,2","15,1","2,4",Olahan,Serealia,KZGPI-1990
113,AP114,Yangko,"58,1","3,0","1,1","0,8",Olahan,Serealia,KZGPI-1990
114,AP99,Putri hijau,"37,2","5,4","2,1",-,Olahan,Serealia,KGZMI-2001
115,AR001,"Beras giling, mentah","77,1","8,4","1,7","0,2",Tunggal,Serealia,KZGMI-2001
116,AR002,"Beras giling var pelita, mentah","77,1","9,5","1,4","0,4",Tunggal,Serealia,KZGPI-1990
117,AR003,"Beras giling var rojolele, mentah","77,1","8,4","1,7","0,2",Tunggal,Serealia,KZGPI-1990
118,AR004,"Beras hitam, mentah","76,9","8,0","1,3","20,1",Tunggal,Serealia,KZGMI-2001
119,AR005,"Beras jagung kuning, kering, mentah","82,7","5,5","0,1","10,0",Tunggal,Serealia,KZGMI-2001
120,AR006,"Beras jagung putih, kering, mentah","71,8","4,8","0,1","10,0",Tunggal,Serealia,KZGMI-2001
121,AR007,"Beras ketan hitam tumbuk, mentah","74,5","8,0","2,3","1,0",Tunggal,Serealia,KZGPI-1990
122,AR008,"Beras ketan putih tumbuk, mentah","78,4","7,4","0,8","0,4",Tunggal,Serealia,KZGPI-1990
123,AR009,"Beras ladang, mentah","78,0","7,5","3,8","5,9",Tunggal,Serealia,KZGMI-2001
124,AR010,"Beras menir, mentah","73,0","7,7","4,4","0,2",Tunggal,Serealia,DABM-1964
125,AR011,Beras parboiled,"80,0","6,8","0,6","0,5",Tunggal,Serealia,DABM-1964
126,AR012,"Beras tumbuk, mentah","79,9","7,8","0,4","3,8",Tunggal,Serealia,KZGMI-2001
127,AR013,"Beras tumbuk merah, mentah","76,2","7,3","0,9","0,8",Tunggal,Serealia,KZGPI-1990
128,AR014,"Cantel, mentah","73,0","11,0","3,3","1,2",Tunggal,Serealia,DABM-1964
129,AR015,"Jagung muda, kuning, mentah","31,5","5,1","0,7","1,3",Tunggal,Serealia,KZGPI-1990
130,AR016,"Jagung kuning pipil, kering, mentah","69,1","9,8","7,3","2,2",Tunggal,Serealia,KZGPI-1990
131,AR017,"Jagung pipil var. harapan, kering","76,2","6,2","5,1","2,6",Tunggal,Serealia,KZGPI-1990
132,AR018,"Jagung pipil var. metro, kering","78,0","5,5","4,6","2,9",Tunggal,Serealia,KZGPI-1990
133,AR019,"Jali, mentah","61,0","11,0","4,0","3,1",Tunggal,Serealia,DABM-1964
134,AR020,"Jawawut, mentah","73,4","9,7","3,5","8,2",Tunggal,Serealia,DABM-1964
135,AR021,"Jampang huma, mentah","78,2","6,2","1,4","1,7",Tunggal,Serealia,DABM-1964
136,BP001,"Batatas kelapa, ubi, bakar","23,4","1,4","1,1","4,5",Olahan,Umbi,KZGMI-2001
137,BP002,"Batatas kelapa, ubi, kukus","21,0","1,2","0,3","4,1",Olahan,Umbi,KZGMI-2001
138,BP003,"Batatas tali, ubi, rebus","42,2","2,4","0,4","9,2",Olahan,Umbi,KZGMI-2001
139,BP004,"Belitung, talas, kukus","34,2","1,2","0,4","1,0",Olahan,Umbi,KZGPI-1990
140,BP005,"Bentul, talas, kukus","15,4","2,3","0,3","0,5",Olahan,Umbi,KZGPI-1990
141,BP006,"Gadung, ubi, kukus","20,9","0,6","0,3","0,9",Olahan,Umbi,KZGPI-1990
142,BP007,"Ganyong, rebus","23,8","0,8","0,2","0,9",Olahan,Umbi,KZGPI-1990
143,BP008,Ketela pohon/singkong kukus,"36,4","1,2","0,3","1,3",Olahan,Umbi,KZGPI-1990
144,BP009,"Suweg, talas, kukus","21,9","1,5","0,1","0,9",Olahan,Umbi,KZGPI-1990
145,BP010,"Talas bogor, kukus","28,2","1,5","0,3","0,7",Olahan,Umbi,KZGPI-1990
146,BP011,"Ubi jalar, kuning, kukus","23,8","0,7","0,3","1,0",Olahan,Umbi,KZGPI-1990
147,BP012,Ubi jalar tinta/ kemayung kukus,"39,8","0,9","0,2","1,1",Olahan,Umbi,KZGPI-1990
148,BP013,Bagea kelapa asin,"78,1","3,2","13,9",-,Olahan,Umbi,KZGMI-2001
149,BP014,Bagea kelapa manis,"80,6","1,3","13,8",-,Olahan,Umbi,KZGMI-2001
150,BP015,Bagea kenari asin,"63,6","3,2","29,1",-,Olahan,Umbi,KZGMI-2001
151,BP016,Bagea kenari manis,"64,2","3,2","28,2",-,Olahan,Umbi,KZGMI-2001
152,BP017,Bagea kw 1,"76,3","6,5","9,4","0,4",Olahan,Umbi,KZGPI-1990
153,BP018,Bagea kw 2,"87,2","0,3","3,5","0,9",Olahan,Umbi,KZGPI-1990
154,BP019,Beras Cerdas,"82,3","2,7","1,1","6,2",Olahan,Umbi,BKP
155,BP020,Beras ganyong,"86,3","3,4","0,7","4,7",Olahan,Umbi,BKP
156,BP021,Beras Siger,"28,3","1,1","0,2","5,6",Olahan,Umbi,BKP
157,BP022,Biji nangka/Biji salak,"51,1","2,3","5,4","8,0",Olahan,Umbi,KZGMI-2001
158,BP023,Bubur sagu,"33,0","0,2","4,0",-,Olahan,Umbi,KZGMI-2001
159,BP024,Cassavastick,"17,2","0,8","18,7","1,6",Olahan,Umbi,KZGPI-1990
160,BP025,Ceriping getuk singkong,"67,7","1,2","20,7","0,6",Olahan,Umbi,KZGPI-1990
161,BP026,Gatot,"83,8","1,3","0,7","5,8",Olahan,Umbi,BKP
162,BP027,Geblek,"44,4","0,4","1,7","3,6",Olahan,Umbi,BKP
163,BP028,Getuk goreng,"74,3","1,3","6,4","0,8",Olahan,Umbi,KZGPI-1990
164,BP029,Getuk singkong,"47,4","0,5","1,4","0,8",Olahan,Umbi,KZGPI-1990
165,BP030,Gurandil,"48,5","0,5","2,5","3,1",Olahan,Umbi,KZGPI-1990
166,BP031,Kabuto,"35,4","2,6","2,5","1,8",Olahan,Umbi,KZGMI-2001
167,BP032,Kapurung,"7,8","2,0","0,3","2,0",Olahan,Umbi,KZGMI-2001
168,BP033,Kecimpring singkong goreng,"73,0","1,2","18,6","1,3",Olahan,Umbi,KZGPI-1990
169,BP034,Keremes,"64,4","1,6","25,2","2,1",Olahan,Umbi,KZGPI-1990
170,BP035,Keripik gadung,"76,0","2,8","14,5","1,7",Olahan,Umbi,KZGPI-1990
171,BP036,Keripik kentang,"67,1","2,7","18,8","3,8",Olahan,Umbi,KZGMI-2001
172,BP037,Keripik singkong,"72,0","0,9","20,7","2,0",Olahan,Umbi,KZGPI-1990
173,BP038,Keripik singkong berbumbu,"73,6","2,2","19,7","1,6",Olahan,Umbi,KZGPI-1990
174,BP039,Keripik ubi,"67,6","0,2","23,9","14,3",Olahan,Umbi,KZGMI-2001
175,BP040,Kerupuk cumi goreng,"71,3","6,9","14,6","5,0",Olahan,Umbi,KZGMI-2001
176,BP041,Kerupuk kemplang (ikan) mentah,"78,5","1,8","0,4","4,5",Olahan,Umbi,KZGMI-2001
177,BP042,Kerupuk kemplang goreng,"57,1","5,6","28,1","0,3",Olahan,Umbi,KZGPI-1990
178,BP043,Kerupuk kemplang panggang,"76,9","9,7","1,1","1,0",Olahan,Umbi,KZGPI-1990
179,BP044,Kerupuk mie kuning goreng,"71,3","0,1","21,1","4,2",Olahan,Umbi,KZGPI-1990
180,BP045,Kerupuk udang goreng,"68,5","4,7","20,5","5,0",Olahan,Umbi,KZGMI-2001
181,BP046,Kue bangket,"80,3","1,5","1,2",-,Olahan,Umbi,KZGMI-2001
182,BP047,Kue putu singkong,"53,2","1,2","0,5","2,4",Olahan,Umbi,KZGMI-2001
183,BP048,Lanting getuk,"80,4","0,9","10,8","1,4",Olahan,Umbi,KZGPI-1990
184,BP049,Mi golosor,"15,9","0,2","0,8","0,1",Olahan,Umbi,KZGPI-1990
185,BP050,Mie Bendo,"88,0","0,3",-,"2,4",Olahan,Umbi,BKP
186,BP051,Mie Sagu,"46,5","0,2","0,4","1,4",Olahan,Umbi,BKP
187,BP052,Ongol-ongol sagu,"21,2","0,3","2,7","0,3",Olahan,Umbi,KZGPI-1990
188,BP053,Oyek,"84,9","0,9","0,9","4,3",Olahan,Umbi,BKP
189,BP054,Papeda,"14,9","0,2","0,1","0,5",Olahan,Umbi,KZGMI-2001
190,BP055,Rasbi (Beras Ubi),"76,6","2,2","8,8","6,8",Olahan,Umbi,BKP
191,BP056,Rasi (Beras Singkong),"85,7","0,9","0,4","14,4",Olahan,Umbi,BKP
192,BP057,Sagu forno,"63,4","0,5","4,0",-,Olahan,Umbi,KZGMI-2001
193,BP058,Sagu Lemak (Kue Sagon),"76,8","2,8","14,8","1,1",Olahan,Umbi,BKP
194,BP059,Sagu manis,"62,4","0,5","3,9",-,Olahan,Umbi,KZGMI-2001
195,BP060,Sagu Rendang,"90,5","0,1","0,2","1,9",Olahan,Umbi,BKP
196,BP061,Sagu sinole,"68,9","0,8","8,3",-,Olahan,Umbi,KZGMI-2001
197,BP062,Serimping talas kebumen,"69,2","2,5","21,2","1,7",Olahan,Umbi,KZGPI-1990
198,BP063,Tapai singkong,"40,2","1,4","0,3","2,0",Olahan,Umbi,KZGPI-1990
199,BP064,Tepung Arrowroot,"85,2","0,7","0,2","0,4",Olahan,Umbi,DABM-1964
200,BP065,Tepung Ganyong,"83,6","0,8","1,7","0,7",Olahan,Umbi,BKP
201,BP066,Tepung Gaplek,"83,1","2,4","0,4","6,7",Olahan,Umbi,BKP
202,BP067,"Tepung kentang, kering","85,6","0,3","0,1","0,4",Olahan,Umbi,DABM-1964
203,BP068,Tepung Mocaf,"85,0","1,2","0,6","6,0",Olahan,Umbi,BKP
204,BP069,Tepung Sente,"76,7","4,0","0,4","8,5",Olahan,Umbi,BKP
205,BP070,Tepung singkong/ Tapioka,"88,2","1,1","0,5","0,9",Olahan,Umbi,DABM-1964
206,BP071,Tepung Tales Beneng,"76,1","5,7","0,6","12,2",Olahan,Umbi,BKP
207,BP072,Tepung Ubi Ungu,"84,4","2,8","0,6","12,9",Olahan,Umbi,BKP
208,BP073,Tiwul,"83,4","2,4","1,1","6,5",Olahan,Umbi,BKP
209,BP074,Tiwul Instan,"76,5","3,2","8,5","4,2",Olahan,Umbi,BKP
210,BP075,Ubi Cilembu,"44,3","1,9","0,2","3,4",Olahan,Umbi,BKP
211,BP076,Uli batatas,"27,4","1,1","4,0",-,Olahan,Umbi,KZGMI-2001
212,BR001,"Arrowroot, segar","24,1","1,0","0,2","1,7",Tunggal,Umbi,KZGPI-1990
213,BR002,"Batatas gembili, segar","16,0","1,1","0,9","4,2",Tunggal,Umbi,KZGMI-2001
214,BR003,"Batatas kelapa, ubi, segar","21,0","1,1","0,1","4,0",Tunggal,Umbi,KZGMI-2001
215,BR004,"Belitung, talas, segar","34,2","1,2","0,4","1,5",Tunggal,Umbi,KZGPI-1990
216,BR005,"Bengkuang, segar","12,8","1,4","0,2","1,0",Tunggal,Umbi,DABM-1964
217,BR006,"Bentul (Komba), talas, segar","20,9","1,6","0,7","0,7",Tunggal,Umbi,KZGPI-1990
218,BR007,"Gadeng/Gadung, kering","76,6","2,4","0,6",-,Tunggal,Umbi,KZGMI-2001
219,BR008,"Gadung, ubi, segar","23,5","0,9","0,3","2,1",Tunggal,Umbi,KZGPI-1990
220,BR009,"Ganyong, segar","18,4","0,6","0,2","0,8",Tunggal,Umbi,KZGPI-1990
221,BR010,"Gembili, ubi, segar","31,3","1,1","0,2","1,1",Tunggal,Umbi,KZGPI-1990
222,BR011,"Hofa/Ubi hutan, segar","29,5","1,2","0,5","3,4",Tunggal,Umbi,KZGMI-2001
223,BR012,"Kaburan, ubi, segar","32,2","1,0","0,2","0,7",Tunggal,Umbi,KZGPI-1990
224,BR013,"Kentang, segar","13,5","2,1","0,2","0,5",Tunggal,Umbi,KZGPI-1990
225,BR014,"Kentang hitam, segar","33,7","0,9","0,4","5,4",Tunggal,Umbi,DABM-1964
226,BR015,"Keribang, ubi, segar","29,8","1,3","1,1","0,6",Tunggal,Umbi,KZGPI-1990
227,BR016,"Ketela pohon/ singkong, segar","36,8","1,0","0,3","0,9",Tunggal,Umbi,KZGPI-1990
228,BR017,Lepok/Ubi rumput,"39,8","2,8","1,2","10,7",Tunggal,Umbi,KZGMI-2001
229,BR018,"Sagu aren, kering","85,6","0,6","1,1","0,3",Tunggal,Umbi,KZGPI-1990
230,BR019,"Sagu aren, segar","56,6","0,6","0,2","3,2",Tunggal,Umbi,KZGMI-2001
231,BR020,Sagu kasbi segar,"56,5","0,6","0,2","3,0",Tunggal,Umbi,KZGMI-2001
232,BR021,Sagu lempeng,"85,2","0,9","0,3","4,7",Tunggal,Umbi,KZGMI-2001
233,BR022,"Sagu singkong, kering","86,9","0,5","0,3",-,Tunggal,Umbi,DABM-1964
234,BR023,"Sente, talas, segar","84,7","0,7","0,2","6,6",Tunggal,Umbi,DABM-1964
235,BR024,"Suweg, talas, segar","17,2","1,4","0,1","1,4",Tunggal,Umbi,KZGPI-1990
236,BR025,"Talas bogor, segar","25,0","1,4","0,4","0,9",Tunggal,Umbi,KZGPI-1990
237,BR026,"Talas pontianak, segar","36,4","2,3","0,5","0,7",Tunggal,Umbi,KZGPI-1990
238,BR027,"Talas viqueque, segar","25,9","1,8","0,5","8,6",Tunggal,Umbi,KZGMI-2001
239,BR028,"Ubi jalar, kuning, segar","25,1","0,5","0,4","4,2",Tunggal,Umbi,KZGMI-2001
240,BR029,"Ubi jalar manis, segar","18,8","1,5","0,2","0,6",Tunggal,Umbi,KZGPI-1990
241,BR030,"Ubi jalar merah, segar","35,4","1,6","0,3","0,7",Tunggal,Umbi,KZGPI-1990
242,BR031,"Ubi jalar putih, segar","20,6","0,4","0,4","4,0",Tunggal,Umbi,KZGMI-2001
243,BR032,Ubi jalar tinta/ kemayung,"25,6","0,5","0,4","4,2",Tunggal,Umbi,KZGMI-2001
244,BR033,"Umbi Uwi, segar","82,3","2,8","0,5","2,6",Tunggal,Umbi,BKP
245,CP001,"Kacang belimbing (kecipir), rebus","17,5","16,9","8,8","4,8",Olahan,Kacang,KZGPI-1990
246,CP002,"Kacang bogor, goreng","58,9","12,7","23,2","1,2",Olahan,Kacang,KZGPI-1990
247,CP003,"Kacang bogor, rebus","27,1","7,7","2,8","2,0",Olahan,Kacang,KZGPI-1990
248,CP004,"Kacang gude, rebus","27,5","9,0","0,5","3,4",Olahan,Kacang,KZGPI-1990
249,CP005,"Kacang hijau, rebus","18,3","8,7","0,5","1,5",Olahan,Kacang,KZGPI-1990
250,CP006,"Kacang kedelai, goreng","22,9","32,2","37,7","7,6",Olahan,Kacang,KZGPI-1990
251,CP007,"Kacang kedelai, rebus","12,7","20,2","8,2","1,6",Olahan,Kacang,KZGPI-1990
252,CP008,"Kacang merah kering, rebus","28,2","10,3","0,9","2,6",Olahan,Kacang,KZGPI-l990
253,CP009,"Kacang merah segar, rebus","24,7","10,0","1,0","3,5",Olahan,Kacang,KZGPI-l990
254,CP010,"Kacang mete/biji jambu monyet, goreng","19,8","20,4","56,3","1,1",Olahan,Kacang,KZGPI-1990
255,CP011,Kacang tanah rebus dg kulit,"12,8","13,5","31,2",-,Olahan,Kacang,DABM-1964
256,CP012,"Kacang tanah, goreng","25,5","25,5","44,4","2,8",Olahan,Kacang,KZGPI-l990
257,CP013,"Kacang tanah, rebus","8,0","10,6","18,0","1,0",Olahan,Kacang,KZGPI-l990
258,CP014,"Kacang tolo / tunggak, rebus","22,6","10,7","1,1","0,9",Olahan,Kacang,KZGPI-l990
259,CP015,Ampas kacang hijau,"19,1","3,7","0,6","2,7",Olahan,Kacang,KZGPI-1990
260,CP016,"Ampas tahu, mentah","8,1","5,0","2,1","4,1",Olahan,Kacang,KZGPI-1990
261,CP017,Ampas tahu kukus,"10,7","4,1","2,1","5,1",Olahan,Kacang,KZGPI-1990
262,CP018,"Ampas tahu, kering","41,3","26,6","18,3",-,Olahan,Kacang,DABM-1964
263,CP019,Pepes oncom ampas tahu,"10,6","5,2","1,8","2,2",Olahan,Kacang,KZGPI-1990
264,CP020,Bungkil biji karet,"50,0","29,3","3,3",-,Olahan,Kacang,DABM-1964
265,CP021,Bungkil kacang tanah,"30,5","37,4","13,0",-,Olahan,Kacang,DABM-1964
266,CP022,Bungkil kelapa,"40,0","23,0","15,0",-,Olahan,Kacang,DABM-1964
267,CP023,Dodol banjarmasin,"70,0","2,6","8,6","0,5",Olahan,Kacang,KZGMI-2001
