No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
268,CP024,Emping (kerupuk melinjo),"71,5","12,0","1,5",-,Olahan,Kacang,DABM-1964
269,CP025,Emping komak,"60,7","17,8","4,6",-,Olahan,Kacang,KZGMI-2001
270,CP026,Enting-enting gepuk hello kity,"52,6","13,6","30,3","0,2",Olahan,Kacang,KZGPI-1990
271,CP027,Enting-enting gepuk kacang tanah,"52,0","13,3","29,2","0,2",Olahan,Kacang,KZGPI-1990
272,CP028,Enting-enting wijen,"36,8","18,2","38,4","1,9",Olahan,Kacang,KZGPI-1990
273,CP029,Geplak,"53,6","1,4","14,4","1,8",Olahan,Kacang,KZGMI-2001
274,CP030,Geplak jahe,"57,7","3,1","24,4","3,3",Olahan,Kacang,KZGMI-2001
275,CP031,Kacang atom,"28,8","27,8","38,1","2,5",Olahan,Kacang,KZGPI-1990
276,CP032,Kacang goyang,"44,4","14,7","31,1",-,Olahan,Kacang,KZGMI-2001
277,CP033,Kacang negara,"58,5","18,4","19,1","11,7",Olahan,Kacang,KZGMI-2001
278,CP034,Kacang sukro,"57,7","8,8","26,1","1,8",Olahan,Kacang,KZGPI-1990
279,CP035,Kacang tanah sari,"26,0","25,5","43,8","2,2",Olahan,Kacang,KZGPI-1990
280,CP036,Keju kacang tanah (peanut butter),"20,9","27,0","49,0","1,6",Olahan,Kacang,DABM-1964
281,CP037,Kembang tahu,"23,3","48,9","13,8",-,Olahan,Kacang,KZGPI-1990
282,CP038,Kembang tahu rebus,"4,7","10,7","4,0",-,Olahan,Kacang,KZGPI-1990
283,CP039,Keripik oncom,"42,6","8,3","43,8","3,3",Olahan,Kacang,KZGPI-1990
284,CP040,Keripik tempe,"41,7","12,1","40,6","2,2",Olahan,Kacang,KZGPI-1990
285,CP041,Keripik tempe abadi besar,"39,8","15,8","37,1","3,5",Olahan,Kacang,KZGPI-1990
286,CP042,Keripik tempe abadi murni,"11,6","40,3","42,4","2,2",Olahan,Kacang,KZGPI-1990
287,CP043,Keripik tempe abadi sedang,"52,4","12,3","27,9","3,6",Olahan,Kacang,KZGPI-1990
288,CP044,Keripik tempe abadi telur,"40,2","20,8","31,7","3,0",Olahan,Kacang,KZGPI-1990
289,CP045,Keripik tempe abadi prima,"42,0","16,7","33,9","2,2",Olahan,Kacang,KZGPI-1990
290,CP046,Kwaci,"13,8","30,6","42,1","13,6",Olahan,Kacang,DABM-1964
291,CP047,Melinjo emping tebal goreng manis,"65,7","10,0","16,4",-,Olahan,Kacang,KZGPI-1990
292,CP048,"Melinjo emping tebal, goreng asin","63,0","11,1","16,2",-,Olahan,Kacang,KZGPI-1990
293,CP049,Melinjo emping tipis goreng,"59,1","11,5","24,5",-,Olahan,Kacang,KZGPI-1990
294,CP050,Moon tahu,"1,3","8,0","10,0","0,2",Olahan,Kacang,KZGMS-1993
295,CP051,Oncom,"22,6","13,0","6,0",-,Olahan,Kacang,DABM-1964
296,CP052,Oncom ampas kacang hijau,"65,7","14,9","6,0","12,3",Olahan,Kacang,KZGPI-1990
297,CP053,Oncom kacang hijau + singkong,"65,9","11,0","5,3","9,0",Olahan,Kacang,KZGPI-1990
298,CP054,Oncom kacang tanah pepes,"13,7","12,7","3,8","3,1",Olahan,Kacang,KZGPI-1990
299,CP055,Rempeyek kacang tanah,"44,3","17,5","32,5","1,7",Olahan,Kacang,KZGPI-1990
300,CP056,Rempeyek kacang tolo,"59,7","11,2","20,2","1,8",Olahan,Kacang,KZGPI-1990
301,CP057,Rempeyek kacang uci,"50,8","17,0","27,6","2,4",Olahan,Kacang,KZGPI-1990
302,CP058,Sayur lebui,"12,5","2,1","0,6","5,7",Olahan,Kacang,KZGMI-2001
303,CP059,"Saridele, bubuk","43,0","30,0","20,0","6,2",Olahan,Kacang,DABM-1964
304,CP060,Susu kedelai,"5,0","3,5","2,5","0,2",Olahan,Kacang,DABM-1964
305,CP061,"Tahu, mentah","0,8","10,9","4,7","0,1",Olahan,Kacang,KZGPI-1990
306,CP062,Tahu goreng,"2,5","9,7","8,5","0,1",Olahan,Kacang,KZGPI-1990
307,CP063,Tahu telur,"24,6","12,6","19,9","0,4",Olahan,Kacang,KZGMS-1993
308,CP064,Takwa,"4,0","13,8","8,5",-,Olahan,Kacang,KZGPI-1990
309,CP065,Tauco,"22,2","11,4","5,5","1,9",Olahan,Kacang,KZGPI-1990
310,CP066,"Tauco cap beruang, cake","67,6","7,4","5,2","3,2",Olahan,Kacang,KZGPI-1990
311,CP067,"Tauco cap DAS, cake","70,4","7,5","4,3","3,1",Olahan,Kacang,KZGPI-1990
312,CP068,Tauco cap meong,"21,3","7,4","4,9","1,6",Olahan,Kacang,KZGPI-1990
313,CP069,Tauji cap singa,"49,6","9,1","4,7","1,2",Olahan,Kacang,KZGPI-1990
314,CP070,Tempe bongkrek,"18,3","4,4","3,5",-,Olahan,Kacang,DABM-1964
315,CP071,Tempe gembus P3G,"10,3","5,7","1,3","4,2",Olahan,Kacang,KZGPI-1990
316,CP072,Tempe gembus yogya,"10,6","6,8","0,7","5,3",Olahan,Kacang,KZGPI-1990
317,CP073,Tempe kacang babi,"21,9","12,5","0,8","1,8",Olahan,Kacang,KZGPI-1990
318,CP074,Tempe kecipir (kacang belimbing),"12,9","17,5","10,0","2,9",Olahan,Kacang,KZGPI-1990
319,CP075,Tempe kedelai + jagung,"11,4","12,0","5,5","1,9",Olahan,Kacang,KZGPI-1990
320,CP076,"Tempe kedelai murni, goreng","10,4","24,5","26,6","4,2",Olahan,Kacang,KZGPI-1990
321,CP077,"Tempe kedelai murni, mentah","13,5","20,8","8,8","1,4",Olahan,Kacang,KZGPI-1990
322,CP078,Tempe koro benguk,"23,2","10,2","1,3",-,Olahan,Kacang,DABM-1964
323,CP079,Tempe lamtoro,"21,3","10,7","0,5","7,1",Olahan,Kacang,KZGPI-1990
324,CP080,Tempe lamtoro var. gung dengan kulit,"19,6","11,7","2,3","7,6",Olahan,Kacang,KZGPI-1990
325,CP081,Tempe lamtoro var. gung tanpa kulit,"13,0","18,0","0,8","1,3",Olahan,Kacang,KZGPI-1990
326,CP082,Tempe pasar,"9,1","14,0","7,7","1,4",Olahan,Kacang,KZGPI-1990
327,CP083,Tempe pasar goreng,"7,8","20,0","28,0","3,4",Olahan,Kacang,KZGPI-1990
328,CP084,Tepung hunkwe (pati kacang ijo),"83,5","4,5","1,0","16,1",Olahan,Kacang,DABM-1964
329,CP085,Tepung Jalejo,"61,2","19,0","7,5","5,8",Olahan,Kacang,BKP
330,CP086,Tepung kacang kedelai,"29,9","35,9","20,6","5,8",Olahan,Kacang,DABM-1964
331,CR001,"Kacang arab, kering","60,2","23,8","1,4","17,4",Tunggal,Kacang,DABM-1964
332,CR002,"Kacang babi, kering","51,3","30,4","3,2","4,5",Tunggal,Kacang,KZGPI-1990
333,CR003,"Kacang belimbing (kecipir), kering","34,1","34,4","16,9","10,7",Tunggal,Kacang,KZGPI-1990
334,CR004,"Kacang beracun, segar","21,6","4,4","1,5",-,Tunggal,Kacang,KZGMI-2001
335,CR005,"Kacang bogor, kering","65,0","16,0","6,0","26,3",Tunggal,Kacang,DABM-1964
336,CR006,"Kacang bogor, segar","27,4","7,7","3,1","2,5",Tunggal,Kacang,KZGPI-1990
337,CR007,"Kacang endel, biji, kering","58,0","25,0","1,0","23,6",Tunggal,Kacang,DABM-1964
338,CR008,"Kacang ercis, segar","18,3","12,4","0,7","28,6",Tunggal,Kacang,KZGMI-2001
339,CR009,"Kacang galing, segar","59,5","23,1","1,7",-,Tunggal,Kacang,DABM-1964
340,CR010,"Kacang gude, biji, kering","58,0","20,7","1,0","4,6",Tunggal,Kacang,KZGPI-1990
341,CR011,"Kacang gude, biji, segar","20,8","7,0","0,6","4,4",Tunggal,Kacang,DABM-1964
342,CR012,"Kacang hijau var. bakti, kering","70,7","17,1","1,8","5,7",Tunggal,Kacang,KZGPI-1990
343,CR013,"Kacang hijau var. siwalik, kering","64,6","20,8","2,1","7,4",Tunggal,Kacang,KZGPI-1990
344,CR014,"Kacang hijau, kering","56,8","22,9","1,5","7,5",Tunggal,Kacang,KZGPI-1990
345,CR015,"Kacang hitam, kering","66,1","16,6","1,7","22,8",Tunggal,Kacang,KZGMI-2001
346,CR016,"Kacang kapri, segar","17,7","6,7","0,4","6,2",Tunggal,Kacang,DABM-1964
347,CR017,"Kacang kedelai, kering","24,9","40,4","16,7","3,2",Tunggal,Kacang,KZGPI-1990
348,CR018,"Kacang kedelai, segar","30,1","30,2","15,6",-,Tunggal,Kacang,DABM-1964
349,CR019,"Kacang kincai, kering","55,0","19,9","16,0",-,Tunggal,Kacang,KZGMI-2001
350,CR020,"Kacang komak, segar","55,8","16,4","4,3","0,5",Tunggal,Kacang,KZGMI-2001
351,CR021,"Kacang kuning, kering","66,0","17,0","2,5","15,1",Tunggal,Kacang,KZGMI-2001
352,CR022,"Kacang lebui /iris, kering","66,6","16,5","1,5","37,3",Tunggal,Kacang,KZGMI-2001
353,CR023,"Kacang mentega, kering","64,6","16,7","2,1","13,0",Tunggal,Kacang,KZGMI-2001
354,CR024,"Kacang merah/banda, kering","66,9","13,9","3,0","26,3",Tunggal,Kacang,KZGMI-2001
355,CR025,"Kacang merah tua, kering","63,2","16,7","1,6","4,6",Tunggal,Kacang,KZGPI-l990
356,CR026,"Kacang merah, kering","56,2","22,1","1,1","4,0",Tunggal,Kacang,KZGPI-l990
357,CR027,"Kacang merah, segar","28,0","11,0","2,2","2,1",Tunggal,Kacang,KZGPI-l990
358,CR028,"Kacang mete/biji jambu monyet, segar","28,7","16,3","48,4","0,9",Tunggal,Kacang,KZGMI-2001
359,CR029,"Kacang panjang, biji, kering","68,6","17,3","1,5","10,6",Tunggal,Kacang,DABM-1964
360,CR030,Kacang tanah sangan,"24,1","29,5","43,0","2,9",Tunggal,Kacang,KZGPI-l990
361,CR031,Kacang tanah sangan tanpa selaput,"23,6","26,9","44,2","2,6",Tunggal,Kacang,DABM-1964
362,CR032,"Kacang tanah, kering","17,4","27,9","42,7","2,4",Tunggal,Kacang,KZGPI-l990
363,CR033,"Kacang tolo / tunggak, kering","56,6","24,4","1,9","1,6",Tunggal,Kacang,KZGPI-l990
364,CR034,"Kacang tunis, kering","72,9","12,2","1,2","29,5",Tunggal,Kacang,KZGMI-2001
365,CR035,"Kacang uci, kering","60,6","23,4","2,4","7,4",Tunggal,Kacang,KZGPI-l990
366,CR036,"Kacang urei, kering","69,3","12,8","1,8","26,1",Tunggal,Kacang,KZGMI-2001
367,CR037,"Kenari banda, kering","13,7","13,9","56,2",-,Tunggal,Kacang,KZGMI-2001
368,CR038,"Kenari, kering","13,0","15,0","66,0",-,Tunggal,Kacang,DABM-1964
369,CR039,"Komak polong, segar","21,2","3,3","0,1","10,3",Tunggal,Kacang,KZGMI-2001
370,CR040,"Koro andong, kering","61,6","20,5","4,1","7,0",Tunggal,Kacang,KZGPI-1990
371,CR041,"Koro benguk, biji, kering","55,0","24,0","3,0","5,6",Tunggal,Kacang,DABM-1964
372,CR042,"Koro kerupuk, biji, segar","22,1","8,3","0,7","2,2",Tunggal,Kacang,DABM-1964
373,CR043,"Koro loke, biji, segar","7,9","2,7","0,2","3,5",Tunggal,Kacang,DABM-1964
374,CR044,"Koro roay, kering","69,4","12,5","2,1","7,5",Tunggal,Kacang,KZGPI-1990
375,CR045,"Koro wedus, biji, kering","61,0","22,2","1,5","5,8",Tunggal,Kacang,DABM-1964
376,CR046,"Lamtoro biji, muda, segar","15,4","5,7","0,3","10,8",Tunggal,Kacang,DABM-1964
377,CR047,"Lamtoro biji, tua, segar","26,2","10,6","0,5","17,0",Tunggal,Kacang,DABM-1964
378,CR048,Lamtoro var. gung tanpa kulit,"32,5","46,4","5,4","2,6",Tunggal,Kacang,KZGPI-1990
379,CR049,Lamtoro var. lokal dengan kulit,"59,7","23,8","1,2","15,4",Tunggal,Kacang,KZGPI-1990
380,CR050,"Nangka, biji, segar","36,7","4,2","0,1","1,8",Tunggal,Kacang,DABM-1964
381,CR051,"Saga merah terkupas, mentah","31,9","30,6","25,5","3,5",Tunggal,Kacang,KZGPI-1990
382,CR052,"Wijen, mentah","18,1","19,3","51,1","3,6",Tunggal,Kacang,DABM-1964
383,DP001,"Bayam, kukus","5,8","1,3","0,7","1,2",Olahan,Sayur,KZGPI-1990
384,DP002,"Bayam, rebus","3,7","1,2","0,6","1,1",Olahan,Sayur,KZGPI-1990
385,DP003,"Buncis, rebus","6,4","2,2","0,2","1,5",Olahan,Sayur,KZGPI-1990
386,DP004,"Daun kacang panjang, kukus","8,0","3,7","0,3","1,8",Olahan,Sayur,KZGPI-1990
387,DP005,"Daun katuk, rebus","9,1","5,3","0,9","1,2",Olahan,Sayur,KZGPI-1990
388,DP006,"Daun kelor, rebus","10,0","6,1","0,9","0,9",Olahan,Sayur,KZGPI-1990
389,DP007,"Daun mengkudu, kukus","11,5","3,8","1,5","2,4",Olahan,Sayur,KZGPI-1990
390,DP008,"Daun singkong, rebus","4,8","3,7","0,6","1,6",Olahan,Sayur,KZGPI-1990
391,DP009,"Daun talas, rebus","5,9","1,3","0,2","1,6",Olahan,Sayur,KZGPI-1990
392,DP010,"Daun ubi merah, kukus","13,0","3,1","0,3","1,5",Olahan,Sayur,KZGPI-1990
393,DP011,"Kacang panjang, kukus","7,6","3,0","0,6","1,7",Olahan,Sayur,KZGPI-1990
394,DP012,"Kacang panjang, rebus","5,8","2,3","0,4","1,4",Olahan,Sayur,KZGPI-1990
395,DP013,"Kangkung, kukus","4,7","3,2","0,7","1,8",Olahan,Sayur,KZGPI-1990
396,DP014,"Kangkung, rebus","3,1","2,5","0,6","1,2",Olahan,Sayur,KZGPI-1990
397,DP015,"Paria putih, kukus","3,4","0,8","0,2","1,2",Olahan,Sayur,KZGPI-1990
398,DP016,"Selada, rebus","2,9","2,7","0,2","0,7",Olahan,Sayur,KZGPI-1990
399,DP017,"Taoge, goreng","14,0","3,2","2,1","0,7",Olahan,Sayur,KZGPI-1990
400,DP018,"Taoge, seduh","4,0","3,0","0,8","1,0",Olahan,Sayur,KZGPI-1990
401,DP019,"Terung panjang, kukus","4,9","1,8","0,1","0,4",Olahan,Sayur,KZGPI-1990
402,DP020,"Wortel, rebus","6,3","0,7","0,5","0,8",Olahan,Sayur,KZGPI-1990
403,DP021,"Wortel, kukus","8,3","1,0","0,6","1,1",Olahan,Sayur,KZGPI-1990
404,DP022,"Asinan Bogor, sayuran","14,8","3,9","2,6","0,5",Olahan,Sayur,KZGMS-1993
405,DP023,"Anyang, sayur","10,3","3,4","7,9","5,4",Olahan,Sayur,KZGMI-2001
406,DP024,"Ares, sayur","11,2","0,9","7,2","4,7",Olahan,Sayur,KZGMI-2001
407,DP025,Arwan sirsir,"10,7","2,4","25,0","4,6",Olahan,Sayur,KZGMI-2001
408,DP026,Beberuk,"3,5","1,1","5,2","3,1",Olahan,Sayur,KZGMI-2001
409,DP027,Botok lamtoro,"13,0","11,7","9,7","2,1",Olahan,Sayur,KZGPI-1990
410,DP028,Buntil daun talas,"8,0","4,4","10,2","1,8",Olahan,Sayur,KZGPI-1990
411,DP029,Cammetutu,"8,7","3,2","6,0","4,3",Olahan,Sayur,KZGMI-2001
412,DP030,"Cap cai, sayur","4,2","5,8","6,3","0,6",Olahan,Sayur,KZGMS-1993
413,DP031,Gado-gado,"21,0","6,1","3,2","1,1",Olahan,Sayur,KZGPI-1990
414,DP032,"Gudeg, sayur","16,0","3,3","9,2","2,3",Olahan,Sayur,KZGPI-1990
415,DP033,Gulai pakis,"6,0","4,0","11,4","1,4",Olahan,Sayur,KZGPI-1990
416,DP034,Gulai pliek,"3,2","7,3","14,9",-,Olahan,Sayur,KZGMI-2001
417,DP035,Kadada katembe,"7,1","4,5","6,9","3,9",Olahan,Sayur,KZGMI-2001
418,DP036,"Kaparende, sayur","2,6","2,4","2,0","1,5",Olahan,Sayur,KZGMI-2001
419,DP037,"Karedok, sayur","14,1","2,2","3,3","1,4",Olahan,Sayur,KZGPI-1990
420,DP038,Keripik bayam,"50,2","4,9","40,6","0,5",Olahan,Sayur,KZGPI-1990
421,DP039,Kotiu hinela tawang nggole,"6,0","2,2","1,5","3,8",Olahan,Sayur,KZGMI-2001
422,DP040,Lema/Rebung asam,"1,9","1,0","0,4",-,Olahan,Sayur,KZGMI-2001
423,DP041,Lilin bungkus gedi,"5,8","2,3","5,2","2,5",Olahan,Sayur,KZGMI-2001
424,DP042,Olah-olah,"7,1","2,1","6,0","4,4",Olahan,Sayur,KZGMI-2001
425,DP043,Paku hinela wulelenggapaya,"5,4","3,5","4,6","3,6",Olahan,Sayur,KZGMI-2001
426,DP044,Pelecing kangkung,"10,0","2,5","2,8","5,4",Olahan,Sayur,KZGMI-2001
427,DP045,Purundawa,"3,6","1,5","0,5","1,7",Olahan,Sayur,KZGMI-2001
428,DP046,Rujak cingur,"8,0","11,3","8,4","1,4",Olahan,Sayur,KZGPI-1990
429,DP047,Sayur asem,"5,0","0,7","0,6","0,6",Olahan,Sayur,KZGPI-1990
430,DP048,Sayur bunga pepaya,"9,8","1,7","0,3","2,7",Olahan,Sayur,KZGMI-2001
431,DP049,Sayur garu,"10,6","2,6","13,9","8,4",Olahan,Sayur,KZGMI-2001
432,DP050,Sayur kohu-kohu,"11,2","7,3","6,6","1,2",Olahan,Sayur,KZGMI-2001
433,DP051,Sayur lilin-terubuk,"4,8","2,7","0,7","1,4",Olahan,Sayur,KZGMI-2001
434,DP052,Sayur ndusuk,"3,6","3,1","2,5",-,Olahan,Sayur,KZGMI-2001
435,DP053,Sayur sop,"1,0","1,3","2,0","0,3",Olahan,Sayur,KZGPI-1990
436,DP054,Sayur umbut kelapa,"5,1","5,2","2,9","1,4",Olahan,Sayur,KZGMI-2001
437,DP055,Sayur umbut rotan,"3,1","5,4","2,6","1,6",Olahan,Sayur,KZGMI-2001
438,DP056,Shabu-shabu,"0,8","3,2","8,0","0,9",Olahan,Sayur,KZGMS-1993
439,DP057,Semur jengkol,"29,1","6,0","10,0",-,Olahan,Sayur,KZGMS-1993
440,DP058,Tinira ninahu nggaluku,"4,1","1,2","1,3","3,1",Olahan,Sayur,KZGMI-2001
441,DP059,Tumis bayam bersantan,"2,6","1,4","4,2","0,5",Olahan,Sayur,KZGPI-1990
442,DP060,Waluh balamak,"8,1","0,8","0,9","7,9",Olahan,Sayur,KZGMI-2001
443,DP061,Woku ubi,"15,0","3,1","7,8","7,0",Olahan,Sayur,KZGMI-2001
444,DR001,"Akar tonjong, segar","10,8","1,1","0,4","1,2",Tunggal,Sayur,KZGPI-1990
445,DR002,"Ale,toge, segar","3,8","4,4","0,5","1,7",Tunggal,Sayur,KZGPI-1990
446,DR003,"Andaliman, segar","18,0","4,6","1,0","8,5",Tunggal,Sayur,KZGPI-1990
447,DR004,"Andewi, segar","5,3","1,6","0,2","4,1",Tunggal,Sayur,DABM-1964
448,DR005,"Bakung, segar","4,2","2,0","0,2","3,8",Tunggal,Sayur,KZGMI-2001
449,DR006,"Baligo, segar","3,0","0,4","0,2","0,4",Tunggal,Sayur,DABM-1964
450,DR007,"Bawang bombay, segar","10,3","1,4","0,2","2,0",Tunggal,Sayur,DABM-1964
451,DR008,"Bayam, segar","2,9","0,9","0,4","0,7",Tunggal,Sayur,KZGPI-1990
452,DR009,"Bayam merah, segar","6,3","2,2","0,8","2,2",Tunggal,Sayur,KZGMI-2001
453,DR010,"Bit, segar","9,6","1,6","0,1","2,6",Tunggal,Sayur,DABM-1964
454,DR011,Buah kelor,"7,5","1,5","0,2","3,2",Tunggal,Sayur,KZGMI-2001
455,DR012,Buah merah,"13,1","2,6","2,7","4,0",Tunggal,Sayur,KZGMI-2001
456,DR013,"Buncis, segar","7,2","2,4","0,3","1,9",Tunggal,Sayur,KZGPI-1990
457,DR014,"Bunga pepaya, segar","8,1","2,6","0,3","1,6",Tunggal,Sayur,KZGPI-1990
458,DR015,"Bunga turi, segar","6,1","2,0","1,1","3,3",Tunggal,Sayur,BKP
459,DR016,"Caisin, segar","3,4","1,7","0,4","1,2",Tunggal,Sayur,KZGPI-1990
460,DR017,"Daun bangun-bangun, segar","4,0","1,3","0,6","1,0",Tunggal,Sayur,KZGPI-1990
461,DR018,"Daun bawang merah, segar","7,8","2,0","0,3","2,1",Tunggal,Sayur,KZGMI-2001
462,DR019,"Daun bebuas, segar","7,3","2,7","1,0","2,1",Tunggal,Sayur,KZGPI-1990
463,DR020,"Daun belem, segar","7,8","4,4","1,4","1,9",Tunggal,Sayur,KZGPI-1990
464,DR021,"Daun bluntas, segar","9,4","1,8","0,5",-,Tunggal,Sayur,DABM-1964
465,DR022,"Daun gandaria, segar","14,0","3,1","0,3","2,1",Tunggal,Sayur,DABM-1964
466,DR023,"Daun gedi besar, segar","10,0","2,9","0,7","3,3",Tunggal,Sayur,KZGMI-2001
467,DR024,"Daun gedi kecil, segar","10,4","3,2","0,7","3,4",Tunggal,Sayur,KZGMI-2001
468,DR025,"Daun gelang, segar","5,8","1,3","0,7","1,3",Tunggal,Sayur,KZGPI-1990
469,DR026,"Daun gunda bali, segar","7,0","4,6","0,9","1,4",Tunggal,Sayur,KZGPI-1990
470,DR027,"Daun gunda serang, segar","9,2","4,2","0,9","1,3",Tunggal,Sayur,KZGPI-1990
471,DR028,"Daun jambu mete muda, segar","16,2","4,6","0,5","3,0",Tunggal,Sayur,DABM-1964
472,DR029,"Daun jampang, segar","5,3","3,8","0,5","1,4",Tunggal,Sayur,KZGPI-1990
473,DR030,"Daun jawaw seluang, segar","15,3","5,0","1,3","3,9",Tunggal,Sayur,KZGMI-2001
474,DR031,"Daun jonghe, segar","4,4","2,1","0,7","2,0",Tunggal,Sayur,KZGPI-1990
475,DR032,"Daun kacang ma, segar","6,8","2,9","0,6","1,8",Tunggal,Sayur,KZGPI-1990
476,DR033,"Daun kacang panjang, segar","5,8","3,1","0,3","1,7",Tunggal,Sayur,KZGPI-1990
477,DR034,"Daun kasbi/singkong karet, segar","10,9","4,0","3,6","5,8",Tunggal,Sayur,KZGMI-2001
478,DR035,"Daun katuk, segar","9,9","6,4","1,0","1,5",Tunggal,Sayur,KZGPI-1990
479,DR036,"Daun kecipir, segar","8,5","5,0","0,5",-,Tunggal,Sayur,DABM-1964
480,DR037,"Daun kedondong, segar","13,4","3,5","0,3","10,7",Tunggal,Sayur,DABM-1964
481,DR038,"Daun kelor, segar","14,3","5,1","1,6","8,2",Tunggal,Sayur,KZGMI-2001
482,DR039,"Daun kemangi, segar","7,5","5,5","0,3","8,4",Tunggal,Sayur,DABM-1964
483,DR040,"Daun kenikir, segar","6,6","3,7","0,5","5,8",Tunggal,Sayur,BKP
484,DR041,"Daun kesum, segar","9,1","4,5","0,8","1,6",Tunggal,Sayur,KZGPI-1990
