No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
923,GP063,"Gulai asam keueung, masakan","1,8","10,0","0,5",-,Olahan,Ikan dsb,KZGMI-2001
924,GP064,"Gulai ikan paya, masakan","5,0","10,0","9,8",-,Olahan,Ikan dsb,KZGMI-2001
925,GP065,"Gulai ikan, masakan","2,5","16,5","3,3",-,Olahan,Ikan dsb,KZGMS-1993
926,GP066,"Gulai keumamah, masakan","3,2","5,9","8,2",-,Olahan,Ikan dsb,KGZMI-2001
927,GP067,"Gulai tiram, masakan","7,8","9,0","7,2",-,Olahan,Ikan dsb,KZGMI-2001
928,GP068,"Gurame asem manis, masakan","12,7","12,7","10,1",-,Olahan,Ikan dsb,KZGPI-1990
929,GP069,"Ikan asar merah, masakan","5,6","17,7","5,9",-,Olahan,Ikan dsb,KZGMI-2001
930,GP070,Jambal goreng,"2,3","48,5","9,2",-,Olahan,Ikan dsb,KZGMS-1993
931,GP071,"Jukku pallu kaloa, masakan","8,8","15,2","4,3",-,Olahan,Ikan dsb,KZGMI-2001
932,GP072,"Kaholeo, masakan","29,8","28,7","19,8",-,Olahan,Ikan dsb,KZGMI-2001
933,GP073,"Lawara penjah, masakan","9,6","7,4","15,4",-,Olahan,Ikan dsb,KZGMI-2001
934,GP074,"Model, masakan","8,6","2,2","4,0",-,Olahan,Ikan dsb,KZGMI-2001
935,GP075,"Mujahir acar kuning, masakan","12,1","17,8","23,4","1,1",Olahan,Ikan dsb,KZGPI-1990
936,GP076,"Parede baleh, masakan","5,5","10,5","2,5",-,Olahan,Ikan dsb,KZGMI-2001
937,GP077,Pempek adaan,"27,8","4,9","3,0",-,Olahan,Ikan dsb,KZGMI-2001
938,GP078,Pempek belida,"31,6","4,2","1,4","0,2",Olahan,Ikan dsb,KZGPI-1990
939,GP079,Pempek kapal selam,"28,2","4,5","2,3",-,Olahan,Ikan dsb,KZGMI-2001
940,GP080,Pempek kelesan,"26,6","12,3","6,1","0,4",Olahan,Ikan dsb,KZGPI-1990
941,GP081,Pempek kulit,"39,1","5,2","7,3",-,Olahan,Ikan dsb,KZGMI-2001
942,GP082,Pempek telur,"28,3","4,7","2,7",-,Olahan,Ikan dsb,KZGMI-2001
943,GP083,Pempek tenggiri,"33,4","7,2","1,2","0,2",Olahan,Ikan dsb,KZGPI-1990
944,GP084,"Pencok lele, masakan","3,5","7,8","36,3",-,Olahan,Ikan dsb,KZGPI-1990
945,GP085,"Pinda, masakan","0,4","15,9","0,6",-,Olahan,Ikan dsb,KZGMI-2001
946,GP086,"Pindang kenari, masakan",-,"9,5","9,6",-,Olahan,Ikan dsb,KZGMI-2001
947,GP087,"Saboko gurita, masakan","2,6","15,7","1,5",-,Olahan,Ikan dsb,KZGMI-2001
948,GP088,"Saboko saltan, masakan","3,0","17,1","3,6",-,Olahan,Ikan dsb,KZGMI-2001
949,GP089,"Saboko sardin, masakan","4,9","12,9","4,3",-,Olahan,Ikan dsb,KZGMI-2001
950,GP090,Sate Bandeng,"20,9","12,1","16,8","2,0",Olahan,Ikan dsb,BKP
951,GP091,"Sepi, masakan","10,6","7,9","1,6",-,Olahan,Ikan dsb,KZGMI-2001
952,GP092,Tekwan,"9,4","1,9","0,9",-,Olahan,Ikan dsb,KZGMI-2001
953,GP093,"Teri balado, masakan","17,5","23,7","22,3",-,Olahan,Ikan dsb,KZGPI-1990
954,GP094,Tumis bandeng,"0,6","11,3","15,7",-,Olahan,Ikan dsb,KZGMI-2001
955,GP095,Tumis keumamah,"15,5","14,5","20,0","4,5",Olahan,Ikan dsb,KGZMI-2001
956,GR001,"Ikan bader, segar",-,"19,0","13,0",-,Tunggal,Ikan dsb,DABM-1964
957,GR002,"Ikan balong, segar","1,5","16,5","3,9",-,Tunggal,Ikan dsb,KZGPI-1990
958,GR003,"Ikan bambangan, segar","3,7","20,0","1,3",-,Tunggal,Ikan dsb,KZGPI-1990
959,GR004,"Ikan bandeng, segar",-,"20,0","4,8",-,Tunggal,Ikan dsb,DABM-1964
960,GR005,"Ikan banjar, segar","4,8","19,4","0,9",-,Tunggal,Ikan dsb,KZGPI-1990
961,GR006,"Ikan baronang, segar","3,7","14,5","0,6",-,Tunggal,Ikan dsb,KZGMI-2001
962,GR007,"Ikan batung, segar","4,2","14,5","4,6",-,Tunggal,Ikan dsb,KZGMI-2001
963,GR008,"Ikan baung, segar","3,3","15,1","5,5",-,Tunggal,Ikan dsb,KZGMI-2001
964,GR009,"Ikan bawal, segar",-,"19,0","1,7",-,Tunggal,Ikan dsb,DABM-1964
965,GR010,"Ikan Belida, segar","2,2","14,7","1,4",-,Tunggal,Ikan dsb,KZGMI-2001
966,GR011,"Belut, segar","1,0","14,6","0,8",-,Tunggal,Ikan dsb,KZGMI-2001
967,GR012,"Belut,laut, segar","6,1","12,8","1,5",-,Tunggal,Ikan dsb,KZGPI-1990
968,GR013,"Ikan beunteur, segar",-,"17,0","4,0",-,Tunggal,Ikan dsb,DABM-1964
969,GR014,"Ikan biawan, segar","2,1","14,9","2,5",-,Tunggal,Ikan dsb,KZGMI-2001
970,GR015,"Ikan bili, segar","6,2","14,2","0,7",-,Tunggal,Ikan dsb,KZGMI-2001
971,GR016,"Ikan bubara, segar","4,9","14,7","2,4",-,Tunggal,Ikan dsb,KZGMI-2001
972,GR017,"Ikan bulan-bulan, segar","5,0","25,5","1,3",-,Tunggal,Ikan dsb,KZGMI-2001
973,GR018,"Ikan, cakalang, segar","5,5","19,6","0,7",-,Tunggal,Ikan dsb,KZGMI-2001
974,GR019,"Ikan cakalang, hati, segar","10,0","11,3","3,9",-,Tunggal,Ikan dsb,KZGMI-2001
975,GR020,"Ikan cakalang, jantung, segar","10,2","11,2","1,2",-,Tunggal,Ikan dsb,KZGMI-2001
976,GR021,"Ikan cakalang, perut, segar","8,7","10,2","1,1",-,Tunggal,Ikan dsb,KZGMI-2001
977,GR022,"Cumi-cumi, segar","0,1","16,1","0,7",-,Tunggal,Ikan dsb,KZGPI-1990
978,GR023,"Ikan daun, segar","4,6","11,5","4,1",-,Tunggal,Ikan dsb,KZGMI-2001
979,GR024,"Ikan ekor kuning, segar","2,1","22,3","1,2",-,Tunggal,Ikan dsb,KZGMI-2001
980,GR025,"Ikan gabus, segar","2,6","16,2","0,5",-,Tunggal,Ikan dsb,KZGMI-2001
981,GR026,"Ikan Heu, segar","6,6","10,0","1,6",-,Tunggal,Ikan dsb,KZGMI-2001
982,GR027,"Ikan hitam, segar","6,7","10,3","3,7",-,Tunggal,Ikan dsb,KZGMI-2001
983,GR028,"Ikan hiu, segar","2,2","10,7","0,3",-,Tunggal,Ikan dsb,KZGPI-1990
984,GR029,"Ikan kacangan, segar","1,6","15,6","0,9",-,Tunggal,Ikan dsb,KZGPI-1990
985,GR030,"Ikan kakap, segar",-,"20,0","0,7",-,Tunggal,Ikan dsb,DABM-1964
986,GR031,"Ikan kakatua, segar","6,4","11,4","1,2",-,Tunggal,Ikan dsb,KZGMI-2001
987,GR032,"Ikan kalaban, segar","1,3","16,4","0,7",-,Tunggal,Ikan dsb,KZGMI-2001
988,GR033,"Ikan Kamera, segar",-,"19,7","0,8",-,Tunggal,Ikan dsb,KZGMI-2001
989,GR034,"Ikan kapar, segar","0,8","17,0","6,7",-,Tunggal,Ikan dsb,KZGMI-2001
990,GR035,"Ikan kawalinya, segar","5,4","12,6","4,2",-,Tunggal,Ikan dsb,KZGMI-2001
991,GR036,"Ikan oci, kembung, segar","2,2","21,3","3,4",-,Tunggal,Ikan dsb,KZGMI-2001
992,GR037,"Keong, segar","2,0","12,0","1,0",-,Tunggal,Ikan dsb,DABM-1964
993,GR038,"Kepiting, segar","14,1","13,8","3,8",-,Tunggal,Ikan dsb,DABM-1964
994,GR039,"Kerang, segar","3,9","14,4","2,6",-,Tunggal,Ikan dsb,KZGPI-1990
995,GR040,"Ikan keru-keru, segar","0,8","16,5","2,1",-,Tunggal,Ikan dsb,KZGPI-1990
996,GR041,"Ikan kima, segar","5,2","10,8","0,7",-,Tunggal,Ikan dsb,KZGMI-2001
997,GR042,"Kodok, segar",-,"16,4","0,3",-,Tunggal,Ikan dsb,DABM-1964
998,GR043,"Kura-kura, segar",-,"19,1","0,2",-,Tunggal,Ikan dsb,DABM-1964
999,GR044,"Kuro, segar","1,0","16,0","2,2",-,Tunggal,Ikan dsb,KZGPI-1990
1000,GR045,"Ikan lais, segar","2,4","11,9","11,5",-,Tunggal,Ikan dsb,KZGPI-1990
1001,GR046,"Ikan layang, segar",-,"22,0","1,7",-,Tunggal,Ikan dsb,DABM-1964
1002,GR047,"Ikan layur, segar","0,4","18,0","1,0",-,Tunggal,Ikan dsb,KZGPI-1990
1003,GR048,"Ikan lehoma, segar",-,"20,4","0,9",-,Tunggal,Ikan dsb,KZGMI-2001
1004,GR049,"Ikan lemuru, segar",-,"20,0","3,0",-,Tunggal,Ikan dsb,DABM-1964
1005,GR050,"Ikan lidah, segar","2,0","15,6","3,2",-,Tunggal,Ikan dsb,KZGPI-1990
1006,GR051,"Lokan, segar","5,1","11,0","1,7",-,Tunggal,Ikan dsb,KZGMI-2001
1007,GR052,"Ikan malalugis, segar","0,9","20,6","1,4",-,Tunggal,Ikan dsb,KZGMI-2001
1008,GR053,"Ikan mamar merah, segar","4,4","15,3","4,0",-,Tunggal,Ikan dsb,KZGMI-2001
1009,GR054,"Ikan mas, segar",-,"16,0","2,0",-,Tunggal,Ikan dsb,DABM-1964
1010,GR055,"Ikan mayong, segar","0,4","17,9","2,0",-,Tunggal,Ikan dsb,KZGPI-1990
1011,GR056,"Ikan mujahir, segar",-,"18,7","1,0",-,Tunggal,Ikan dsb,KZGPI-1990
1012,GR057,"Ikan nasu metti, segar","10,5","16,8","5,0",-,Tunggal,Ikan dsb,KZGMI-2001
1013,GR058,"Ikan paling, segar",-,"14,0","27,0",-,Tunggal,Ikan dsb,DABM-1964
1014,GR059,"Ikan papuyu/ betok, segar","4,6","14,3","4,9",-,Tunggal,Ikan dsb,KZGMI-2001
1015,GR060,"Ikan Patin, segar","1,1","17,0","6,6",-,Tunggal,Ikan dsb,KZGMI-2001
1016,GR061,"Ikan pomo, segar","2,6","22,5","5,2",-,Tunggal,Ikan dsb,KZGMI-2001
1017,GR062,"Ikan Puntin, segar","2,2","14,4","1,1",-,Tunggal,Ikan dsb,KZGMI-2001
1018,GR063,"Rajungan, segar","2,4","12,1","2,0",-,Tunggal,Ikan dsb,KZGMI-2001
1019,GR064,"Rebon, udang kecil, segar","0,7","16,2","1,2",-,Tunggal,Ikan dsb,DABM-1964
1020,GR065,"Ikan saluang, segar","3,4","13,9","4,9",-,Tunggal,Ikan dsb,KZGMI-2001
1021,GR066,"Ikan sarden, segar","3,4","19,9","1,8",-,Tunggal,Ikan dsb,KZGMI-2001
1022,GR067,"Ikan selar, segar",-,"18,8","2,2",-,Tunggal,Ikan dsb,DABM-1964
1023,GR068,"Ikan sepat, segar","4,7","15,2","0,6",-,Tunggal,Ikan dsb,KZGMI-2001
1024,GR069,"Ikan sidat, segar","3,8","11,4","1,9",-,Tunggal,Ikan dsb,KZGPI-1990
1025,GR070,"Ikan sunu, segar","6,7","13,3","3,4",-,Tunggal,Ikan dsb,KZGMI-2001
1026,GR071,"Ikan tahuman, segar","4,1","15,9","0,9",-,Tunggal,Ikan dsb,KZGMI-2001
1027,GR072,"Ikan Sale, segar","4,9","40,2","39,3","2,0",Tunggal,Ikan dsb,BKP
1028,GR073,"Ikan tarmon, segar","2,0","19,5","1,1",-,Tunggal,Ikan dsb,KZGMI-2001
1029,GR074,"Ikan telan, segar","6,5","15,8","0,7",-,Tunggal,Ikan dsb,KZGMI-2001
1030,GR075,"Ikan tembang, segar",-,"16,0","15,0",-,Tunggal,Ikan dsb,DABM-1964
1031,GR076,"Ikan tempahas, segar","1,0","15,1","4,1",-,Tunggal,Ikan dsb,KZGMI-2001
1032,GR077,"Ikan terbang, segar","1,0","19,6","1,7",-,Tunggal,Ikan dsb,KZGMI-2001
1033,GR078,"Ikan teri, segar","4,1","10,3","1,4",-,Tunggal,Ikan dsb,KZGPI-1990
1034,GR079,"Ikan titang, segar","2,3","17,4","0,4",-,Tunggal,Ikan dsb,KZGMI-2001
1035,GR080,"Ikan tongkol, segar","8,0","13,7","1,5",-,Tunggal,Ikan dsb,KZGMI-2001
1036,GR081,"Ikan turi, segar","0,2","19,2","2,0",-,Tunggal,Ikan dsb,KZGMI-2001
1037,GR082,"Udang, besar, segar","1,2","11,4","0,6",-,Tunggal,Ikan dsb,KZGMI-2001
1038,GR083,"Udang galah, segar","3,0","16,5","0,3",-,Tunggal,Ikan dsb,KZGMI-2001
1039,GR084,"Udang, segar","0,1","21,0","0,2",-,Tunggal,Ikan dsb,DABM-1964
1040,HP001,"Telur ayam, dadar, masakan","1,4","16,3","19,4",-,Olahan,Telur,KZGPI-1990
1041,HP002,"Telur bebek, asin, mentah","4,4","13,6","13,3",-,Olahan,Telur,DABM-60/64
1042,HP003,"Telur bebek, dadar, masakan",-,"20,0","23,7",-,Olahan,Telur,KZGPI-1990
1043,HP004,"Ikan, telur, asin, mentah","9,4","20,7","26,4",-,Olahan,Telur,KZGMI-2001
1044,HP005,"Bayau mi balu, masakan","44,8","6,0","12,2",-,Olahan,Telur,KGZMI-2001
1045,HP006,"Cucuru bayau, masakan","38,3","6,8","18,7",-,Olahan,Telur,KGZMI-2001
1046,HP007,"Kalio telur, masakan","9,7","10,6","12,4",-,Olahan,Telur,KZGMS-1993
1047,HR001,"Telur ayam kampung, segar","1,2","10,8","14,0",-,Tunggal,Telur,KZGMI-2001
1048,HR002,"Telur ayam ras, segar","0,7","12,4","10,8",-,Tunggal,Telur,KZGPI-1990
1049,HR003,"Telur ayam ras, bagian kuning, segar","0,7","16,3","31,9",-,Tunggal,Telur,DABM-1964
1050,HR004,"Telur ayam ras, bagian putih, segar","0,8","10,8",-,-,Tunggal,Telur,DABM-1964
1051,HR005,"Telur bebek alabio, segar","3,0","11,8","14,2",-,Tunggal,Telur,KZGMI-2001
1052,HR006,"Telur bebek, bagian kuning, segar","0,8","17,0","35,0",-,Tunggal,Telur,DABM-1964
1053,HR007,"Telur bebek, bagian putih, segar","0,8","11,0",-,-,Tunggal,Telur,DABM-1964
1054,HR008,"Telur bebek tambak, segar","7,9","10,9","12,4",-,Tunggal,Telur,KZGMI-2001
1055,HR009,"Telur burung maleo, segar","0,4","26,5","36,3",-,Tunggal,Telur,KZGMI-2001
1056,HR010,"Telur penyu, segar","2,7","8,6","10,1",-,Tunggal,Telur,KZGMI-2001
1057,HR011,"Telur burung puyuh, segar","1,6","10,7","7,0",-,Tunggal,Telur,FCTEA-1972
1058,JP001,Es krim,"20,6","4,0","12,5",-,Olahan,Susu,DABM-1964
1059,JP002,Hangop,"3,5","10,0","1,0",-,Olahan,Susu,DABM-1964
1060,JP003,Keju,"13,1","22,8","20,3",-,Olahan,Susu,DABM-1964
1061,JP004,Kwark (Quark),"3,0","19,0","17,0",-,Olahan,Susu,DABM-1964
1062,JP005,"Susu asam untuk bayi, bubuk","65,5","19,0","9,0",-,Olahan,Susu,DABM-1964
1063,JP006,Susu bubuk,"36,2","24,6","30,0",-,Olahan,Susu,DABM-1964
1064,JP007,Susu kental manis,"55,0","8,2","10,0",-,Olahan,Susu,DABM-1964
1065,JP008,Susu kental tak manis,"9,9","7,0","7,9",-,Olahan,Susu,DABM-1964
1066,JP009,"Susu skim, bubuk","52,0","35,6","1,0",-,Olahan,Susu,DABM-1964
1067,JP010,"Susu skim, segar","5,1","3,5","0,1",-,Olahan,Susu,DABM-1964
1068,JP011,"Yoghurt, segar","4,0","3,3","2,5",-,Olahan,Susu,DABM-1964
1069,JR001,"Kepala susu - krim, segar","4,0","2,6","20,0",-,Tunggal,Susu,DABM-1964
1070,JR002,Susu ibu - ASI,"7,0","1,5","3,2",-,Tunggal,Susu,FCTEA-1972
1071,JR003,"Susu kambing, segar","6,6","4,3","2,3",-,Tunggal,Susu,DABM-1964
1072,JR004,"Susu kerbau, segar","7,1","6,3","12,0",-,Tunggal,Susu,DABM-1964
1073,JR005,"Susu kuda, segar","5,4","2,0","1,1",-,Tunggal,Susu,FCTEA-1972
1074,JR006,"Susu sapi, segar","4,3","3,2","3,5",-,Tunggal,Susu,DABM-1964
1075,KP001,Margarin,"0,4","0,6","81,0",-,Olahan,Lemak,DABM-1964
1076,KP002,Mentega,"1,4","0,5","81,6",-,Olahan,Lemak,DABM-1964
1077,KP003,Santan (dengan air),"7,6","2,0","10,0","1,4",Olahan,Lemak,DABM-1964
1078,KP004,Santan murni,"5,6","4,2","34,3",-,Olahan,Lemak,DABM-1964
1079,KR001,"Kelapa setengah tua, daging, segar","10,0","4,0","15,0","2,4",Tunggal,Lemak,DABM-1964
1080,KR002,"Kelapa tua, daging, segar","14,0","3,4","34,7","4,7",Tunggal,Lemak,DABM-1964
1081,KR003,Lemak babi (lard),-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1082,KR004,Lemak babi (bacon),"1,1","9,1","65,0",-,Tunggal,Lemak,DABM-1964
1083,KR005,Lemak ikan,"14,4","12,0","29,4",-,Tunggal,Lemak,KZGMI-2001
1084,KR006,Lemak kerbau (lemak sapi),-,"1,5","90,0",-,Tunggal,Lemak,DABM-1964
1085,KR007,"Minyak hiu, hati",-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1086,KR008,Minyak ikan,-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1087,KR009,Minyak kacang tanah,-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1088,KR010,Minyak kedelai,-,-,"99,9",-,Tunggal,Lemak,FCTEA-1972
1089,KR011,Minyak kelapa,-,"1,0","98,0",-,Tunggal,Lemak,DABM-1964
1090,KR012,Minyak kelapa sawit,-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1091,KR013,Minyak wijen,-,"0,2","99,7",-,Tunggal,Lemak,FCTEA-1972
1092,KR014,Minyak Zaitun,-,-,"100,0",-,Tunggal,Lemak,DABM-1964
1093,MP001,"Coklat manis, batang","62,7","2,0","29,8","6,5",Olahan,Gula,DABM-1964
1094,MP002,"Coklat pahit,batang","29,2","5,5","42,6","10,8",Olahan,Gula,DABM-1964
1095,MP003,"Coklat susu, batang","53,6","9,0","35,0","3,4",Olahan,Gula,DABM-1964
1096,MP004,Coklat bubuk,"48,9","8,0","4,0","32,6",Olahan,Gula,DABM-1964
1097,MP005,Gula aren,"92,0",-,-,-,Olahan,Gula,DABM-1964
1098,MP006,Gula kelapa,"76,0","3,0","10,0",-,Olahan,Gula,DABM-1964
1099,MP007,Gula putih,"94,0",-,-,-,Olahan,Gula,DABM-1964
1100,MP008,"Jam, selai","64,5","0,5","0,6","1,0",Olahan,Gula,DABM-1964
1101,MP009,Kopi bubuk instant,"35,0","12,3","0,5",-,Olahan,Gula,FCTEA-1972
1102,MP010,Madu,"79,5","0,3",-,"0,2",Olahan,Gula,DABM-1964
1103,MP011,Markisa squash,"49,6","2,5","1,0",-,Olahan,Gula,KZGMI-2001
1104,MP012,"Markisa squash, BD","23,7","1,2","0,5",-,Olahan,Gula,KZGMI-2001
1105,MP013,Melase,"71,0",-,"0,1",-,Olahan,Gula,DABM-1964
1106,MP014,Sirup,"55,0",-,-,-,Olahan,Gula,DABM-1964
1107,MP015,Sirup pirous,"55,9","0,2","0,4",-,Olahan,Gula,KZGMI-2001
1108,MP016,Teh hijau daun kering,"53,6","28,3","4,8","9,6",Olahan,Gula,FCTEA-1972
1109,MP017,Teh hitam daun kering,"58,8","24,5","2,8","8,7",Olahan,Gula,FCTEA-1972
1110,MP018,Teh melati daun kering,"59,0","24,1","3,5","9,7",Olahan,Gula,FCTEA-1972
1111,NP001,Balichong,"22,9","13,2","0,8","1,5",Olahan,Bumbu,KZGMI-2001
1112,NP002,Bekasam,"6,1","11,9","4,9","3,5",Olahan,Bumbu,KZGMI-2001
1113,NP003,Bekasang,"3,6","11,4","2,0","0,4",Olahan,Bumbu,KZGMI-2001
1114,NP004,Cuka,"5,0","0,1","0,1",-,Olahan,Bumbu,DABM-1964
1115,NP005,Kecap,"9,0","5,7","1,3",-,Olahan,Bumbu,DABM-1964
1116,NP006,Petis ikan,"20,8","20,0","0,2",-,Olahan,Bumbu,DABM-1964
1117,NP007,Petis udang kering,"59,3","23,8","1,4",-,Olahan,Bumbu,KZGPI-1990
1118,NP008,Petis udang pasta,"38,0","15,0","0,9","2,3",Olahan,Bumbu,DABM-1964
1119,NP009,Saos tomat,"24,5","2,0","0,4","0,9",Olahan,Bumbu,DABM-1964
1120,NP010,Tempoya,"21,9","1,7","1,3","2,6",Olahan,Bumbu,KZGMI-2001
1121,NP011,Terasi,"9,9","22,3","2,9","2,7",Olahan,Bumbu,KZGPI-1990
1122,NP012,Terasi dobo,"6,6","33,1","3,6","1,6",Olahan,Bumbu,KZGMI-2001
1123,NP013,Terasi merah,"5,6","30,0","3,5","2,2",Olahan,Bumbu,DABM-1964
1124,NR001,"Asam arang coklat, segar","30,9","0,5","1,1","1,5",Tunggal,Bumbu,KZGPI-1990
1125,NR002,"Asam arang merah, segar","20,3","0,8","1,6","2,8",Tunggal,Bumbu,KZGPI-1990
1126,NR003,"Asam kandis, kering","63,3","0,9","1,6","5,0",Tunggal,Bumbu,KZGPI-1990
1127,NR004,"Asam kandis, segar","16,1","0,2","1,1","3,4",Tunggal,Bumbu,KZGPI-1990
1128,NR005,"Asam masak pohon, segar","62,5","2,8","0,6","1,2",Tunggal,Bumbu,DABM-1964
1129,NR006,"Asam payak, segar","32,1","0,8","0,4","10,0",Tunggal,Bumbu,KZGPI-1990
1130,NR007,"Bawang merah, segar","9,2","1,5","0,3","1,7",Tunggal,Bumbu,DABM-1964
1131,NR008,"Bawang putih, segar","23,1","4,5","0,2","0,6",Tunggal,Bumbu,DABM-1964
1132,NR009,"Boros kunci, segar","7,2","1,0","0,8","1,0",Tunggal,Bumbu,DABM-1964
1133,NR010,"Boros laja (lengkuas), segar","4,7","1,0","0,3","1,1",Tunggal,Bumbu,DABM-1964
1134,NR011,"Cabai gembor merah, segar","6,3","1,6","0,8","1,6",Tunggal,Bumbu,KZGPI-1990
1135,NR012,"Cabai hijau, segar","5,2","0,7","0,3","2,6",Tunggal,Bumbu,DABM-1964
1136,NR013,"Cabai merah, kering","61,8","15,9","6,2","26,9",Tunggal,Bumbu,DABM-1964
1137,NR014,"Cabai merah, segar","7,3","1,0","0,3","1,4",Tunggal,Bumbu,DABM-1964
1138,NR015,"Cabai rawit, segar","19,9","4,7","2,4","15,2",Tunggal,Bumbu,DABM-1964
1139,NR016,"Cengkeh, kering","57,4","5,2","8,9","10,0",Tunggal,Bumbu,DABM-1964
1140,NR017,"Daun salam, bubuk","49,0","14,2","10,9","9,4",Tunggal,Bumbu,FCTEA-1972
1141,NR018,"Jahe, segar","10,1","1,5","1,0","12,0",Tunggal,Bumbu,DABM-1964
1142,NR019,Kemiri,"8,0","19,0","63,0","3,0",Tunggal,Bumbu,DABM-1964
1143,NR020,"Ketumbar, kering","54,2","14,1","16,1","12,3",Tunggal,Bumbu,DABM-1964
1144,NR021,Kluwek,"13,5","10,0","24,0",-,Tunggal,Bumbu,DABM-1964
1145,NR022,"Kunyit, segar","9,1","2,0","2,7","0,6",Tunggal,Bumbu,DABM-1964
1146,NR023,"Merica, kering","64,4","11,5","6,8","1,0",Tunggal,Bumbu,DABM-1964
1147,NR024,"Pala, biji, kering","40,1","7,5","36,4","3,5",Tunggal,Bumbu,DABM-1964
1148,QR001,"Kelapa muda, air, segar","3,8","0,2","0,1",-,Tunggal,Minuman,DABM-1964
